fitValue/0/value/intVal,originDataSourceId,endTimeNanos,dataTypeName,startTimeNanos,modifiedTimeMillis,rawTimestampNanos
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.5755E+18,com.google.sleep.segment,1.5755E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57563E+18,com.google.sleep.segment,1.57562E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57564E+18,com.google.sleep.segment,1.57563E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57564E+18,com.google.sleep.segment,1.57564E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57564E+18,com.google.sleep.segment,1.57564E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57564E+18,com.google.sleep.segment,1.57564E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57564E+18,com.google.sleep.segment,1.57564E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57565E+18,com.google.sleep.segment,1.57564E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57583E+18,com.google.sleep.segment,1.57583E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57585E+18,com.google.sleep.segment,1.57585E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57585E+18,com.google.sleep.segment,1.57585E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57586E+18,com.google.sleep.segment,1.57585E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57586E+18,com.google.sleep.segment,1.57586E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57586E+18,com.google.sleep.segment,1.57586E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57586E+18,com.google.sleep.segment,1.57586E+18,1.60686E+12,0
2,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57586E+18,com.google.sleep.segment,1.57586E+18,1.60686E+12,0
5,raw:com.google.activity.segment:com.getpebble.android.basalt:,1.57589E+18,com.google.sleep.segment,1.57589E+18,1.60686E+12,0
